id,text,label
promotions_582,anniversary special buy one get one free as our loyal customer get exclusive off example com offer code welcome,Promotions
spam_1629,your amazon was used on new device your refund is processed claim bit ly fakeprize complete within hrshrs,Spam
spam_322,re your google inquiry hi following up about your google application rates dropped to apply now phishing site com stop to opt out,Spam
social_media_80,digital ritual experience creation cross cultural ceremony design join virtualrituals space anthropological framework,Social
forum_1351,your post was moved to programming help trending cooking comments view support site ticket,Forums
social_media_872,memories from this week in friends checked in at downtown cafe see photos and menu social com places cafe,Social
spam_220,paypal funds release held for verification confirm paypal fund release pay id pp,Spam
forum_1657,moderation notice community guidelines update thread discussion moved from general to support continue support site ticket,Forums
social_media_1497,news mike chen started new position group update hiking buddies posted article trending in startup founders best summer destination,Social
spam_1356,your netflix subscription suspended unusual login detected from russia secure account phishing site com now or account suspended,Spam
forum_793,your post was moved to technical support thread discussion started by pixelartist settings support site ticket,Forums
social_media_1555,nearby meetup today pm view profile social com profile john accept reject social com friends pending,Social
forum_928,user spotlight member spotlight event starts time prepare support site ticket,Forums
promotions_1071,free dessert with any order deal ends time items at lowest prices shop now example com use code vip,Promotions
forum_592,event reminder meetup user techguru post support site ticket,Forums
forum_1225,forum contest photo contest thread discussion moved from general to support continue support site ticket,Forums
promotions_1268,last chance warehouse clearance final hours of biggest sale up to off example com ends time,Promotions
forum_1020,new reply in home server setup you earned achievement badge view profile wiki site page,Forums
updates_1347,policy update terms of service changes restaurant main pool closed aug for maintenance sep am pst assignment confirmed manage booking company com updates,Updates
updates_578,your appointment confirmed dec am gmt thank you payment applied to account receipt company com updates,Updates
forum_1996,new reply in home server setup thread discussion moved from general to support continue forum com thread,Forums
promotions_792,member exclusive extra off clearance hello valued member enjoy free shipping all week shop now example com expires date,Promotions
social_media_1664,nearby product launch today am story from paris received likes and comments see insights social com insights post,Social
forum_1395,your post was moved to general discussion thread discussion moved from general to support continue forum com thread,Forums
forum_641,ama session science professor event starts time prepare forum com thread,Forums
updates_1570,payment received invoice inv we ve updated our privacy policy review changes company com updates effective dec,Updates
forum_628,new thread in career advice matches alert report per report details wiki site page,Forums
spam_300,your amazon was used on new device immediate action required your subscription payment failed update payment bit ly fakeprize or call support scam,Spam
updates_1751,auto payment failed for subscription your september statement is available view download company com updates no action needed if payment scheduled,Updates
promotions_1502,your anniversary discount is here hello valued member enjoy buy one get one free shop now example com expires date,Promotions
forum_1828,warning violation in python coding challenge thread discussion started by pixelartist settings forum com thread,Forums
